transport_id;date;country_from;postal_from;city_from;country_to;postal_to;city_to;distance_km;transport_type;weight_kg;pallets;loading_meters;price;currency;adr;refrigerated;ramp
82;2026-05-01;DE;16515;Oranienburg;SI;1000;Ljubljana;1027;LTL;1800;4;1.6;440;EUR;0;0;1
83;2026-02-20;BG;6100;Kazanlak;SI;1000;Ljubljana;1160;LTL;500;2;0.8;400;EUR;0;0;0
84;2026-05-05;SI;2000;Maribor;HR;51211;Matulji;266;LTL;2584;13;4.6;300;EUR;0;0;0
85;2026-04-22;SI;1231;Ljubljana;SI;6215;Divača;77;FTL;3000;14;7;250;EUR;0;0;1
86;2026-04-22;SI;2000;Maribor;AT;4052;Ansfelden;278;FTL;600;20;9;500;EUR;0;0;0
87;2026-04-21;IT;31053;Pieve di Soligo;SI;2214;Sladki Vrh;389;LTL;500;3;1.6;250;EUR;0;0;0
88;2026-04-14;SI;2000;Maribor;NL;1160;Auderghem;1182;LTL;155;1;0.4;350;EUR;0;0;0
89;2026-04-07;NL;3905;NN Veenendaal;SI;1231;Ljubljana;1163;LTL;744;6;2;380;EUR;0;0;0
90;2026-04-07;SI;2000;Maribor;HR;10410;Velika Gorica;126;LTL;2242;13;4.5;200;EUR;0;0;0
91;2026-04-03;SI;2000;Maribor;SI;3000;Celje;50;FTL;5000;30;13.6;150;EUR;0;0;0
92;2026-04-02;SI;2000;Maribor;DE;95352;Marktleugast;650;LTL;1000;1;0.5;220;EUR;0;0;0
93;2026-03-31;SI;2000;Maribor;HR;43000;Bjelovar;201;LTL;1886;7;3.5;300;EUR;0;0;0
94;2026-03-24;DE;48268;Greven;SI;2000;Maribor;1071;LTL;3000;5;5;650;EUR;0;0;0
95;2026-03-23;NL;3905;NN Veenendaal;SI;1231;Ljubljana;1163;LTL;487;3;1.4;280;EUR;0;0;0
96;2026-03-19;SI;2000;Maribor;HR;51211;Matulji;231;FTL;2000;33;13.6;450;EUR;0;0;0
97;2026-03-18;SI;2231;Pernica;AT;8501;Lieboch;67;LTL;615;5;2;150;EUR;0;0;0
98;2026-03-17;DE;48268;Greven;SI;2000;Maribor;1071;LTL;900;2;1.2;260;EUR;0;0;0
99;2026-03-12;DE;88444;Ummendorf;SI;2000;Maribor;627;LTL;1000;14;2.5;300;EUR;0;0;0
100;2026-03-05;SI;2232;Voličina;DE;57462;Olpe;936;LTL;819;1;0.4;210;EUR;0;0;0
101;2026-03-04;NL;5531;AG Bladel;SI;2000;Maribor;1131;LTL;560;3;1.2;280;EUR;0;0;0
102;2026-02-24;DE;72406;Bisingen;SI;2366;Muta;716;LTL;154;1;0.3;140;EUR;0;0;0
103;2026-02-24;SI;2000;Maribor;PL;91-214;Lodz;841;LTL;5300;6;3;600;EUR;0;0;0
104;2026-02-06;SI;2316;Zgornja Ložnica;AT;5500;Bischofshofen;314;LTL;100;1;0.6;150;EUR;0;0;0
105;2026-01-28;DE;74321;Bietingheim - Bissingen;SI;8270;Krško;771;LTL;325;1;0.8;380;EUR;0;0;0
106;2026-03-26;SI;8000;Novo mesto;NL;5171;PR Kaatsheuvel;1247;LTL;330;1;0.6;230;EUR;0;0;0
107;2026-03-18;SI;8000;Novo mesto;IT;25025;Manerbio;484;LTL;230;1;0.6;180;EUR;0;0;0
108;2026-03-06;IT;42047;Rolo;SI;8000;Novo mesto;475;LTL;872;7;3.5;300;EUR;0;0;0
109;2026-02-13;DE;89551;Koenigsbronn;SI;8000;Novo mesto;662;LTL;370;1;0.2;170;EUR;0;0;0
110;2026-02-11;SI;8000;Novo mesto;NL;5171;PR Kaatsheuvel;1247;LTL;200;1;0.5;280;EUR;0;0;0
111;2026-01-06;DE;97638;Mellrichstadt;SI;8000;Novo mesto;825;LTL;91;1;0.5;130;EUR;0;0;0
112;2026-01-05;SI;8000;Novo mesto;IT;25025;Manerbio;486;LTL;420;1;0.6;200;EUR;0;0;0
113;2026-04-01;PL;59-940;Wegliniec;SI;4000;Kranj;814;GROUPAGE;800;2;0.8;280;EUR;0;0;0
114;2025-08-25;DE;47929;Grefrath;SI;1218;Komenda;1061;LTL;120;1;0.4;120;EUR;0;0;0
115;2025-08-10;DE;47929;Grefrath;SI;1218;Komenda;1061;LTL;266;1;0.4;150;EUR;0;0;0
116;2026-03-16;DE;56412;Heiligenroth;SI;5270;Ajdovščina;967;LTL;135;1;0.2;120;EUR;0;0;0
117;2026-02-02;SI;5270;Ajdovšćina;FR;59113;Seclin;1322;LTL;550;1;0.8;550;EUR;0;0;0
118;2026-03-19;EE;10001;Talin;SI;1290;Grosuplje;2093;FTL;23000;30;13.6;2800;EUR;0;0;0
119;2026-02-04;IT;25011;Ponte San Marco;SI;1000;Ljubljana;388;LTL;2044;5;2;200;EUR;0;0;0
120;2026-03-02;DE;02625;Bautzen;SI;4208;Šenčur;905;LTL;1000;2;1.8;370;EUR;0;0;0
121;2026-02-27;DE;02625;Bautzen;SI;4208;Šenčur;905;LTL;1000;2;1.2;330;EUR;0;0;0
122;2026-03-13;LU;8030;Strassen;SI;4208;Šenčur;920;LTL;10000;6;12;1650;EUR;0;0;0
123;2026-05-04;DE;34639;Schwarzenborn;SI;1000;Ljubljana;846;LTL;1660;4;1.6;700;EUR;0;1;0
124;2026-04-01;DE;34639;Schwarzenborn;SI;1000;Ljubljana;846;LTL;35;1;0.4;300;EUR;0;1;0
125;2026-03-20;DE;34639;Schwarzenborn;SI;1000;Ljubljana;846;LTL;1060;3;1.2;600;EUR;0;1;0
